"Path","Lines","KB"
"hooks\useVoiceAgent.ts","88","3,2"
"lib\seedData.ts","86","5,1"
"lib\appConfig.ts","84","3,6"
"components\ErrorBoundary.tsx","82","3,5"
"lib\specs\error-rules.ts","82","3,1"
"domain\types.ts","76","1,9"
"components\settings\FloatingButtonsSection.tsx","76","2,9"
"components\ui\button-group.tsx","76","2,2"
"pages\SpecDashboard.tsx","73","3,3"
"agents\RaporAgent.ts","73","2,4"
"components\settings\TypographySection.tsx","70","2,5"
"components\Modal.tsx","70","2,1"
"components\ui\card.tsx","68","1,8"
"pages\FaturaHelpers.tsx","66","1,6"
"pages\settings\SettingsPelet.tsx","65","2,1"
"theme\types.ts","65","1,8"
"components\settings\AnimationSection.tsx","65","2,7"
"components\settings\ThemeSection.tsx","65","2,3"
"components\Toast.tsx","64","2,1"
"components\ui\input-otp.tsx","64","2,2"
"hooks\useVoiceAssistant.ts","62","2,1"
"components\ui\button.tsx","60","2,3"
"hooks\useDraggableButton.ts","60","1,6"
"pages\ExcelMerge.tsx","59","2,8"
"lib\specs\navigation-rules.ts","58","2,4"
"agents\types.ts","57","1,2"
"lib\version.ts","55","1,5"
"agents\orchestrator.ts","55","1,8"
"components\layout\UserMenu.tsx","54","1,9"
"components\ui\alert.tsx","53","1,6"
"components\ui\toggle-group.tsx","52","1,7"
"lib\voiceIntent.ts","52","2,1"
"lib\voiceEngine.ts","52","1,8"
"hooks\db\useDBActions.ts","50","1,2"
"components\VoiceAssistantButton.tsx","50","1,4"
"lib\db\indexeddb.ts","50","1,4"
"agents\AgentBus.ts","49","1,5"
"components\ui\accordion.tsx","49","2"
"lib\specs\runner.ts","48","1,6"
"components\ui\tabs.tsx","47","1,8"
"pages\ai\AIAHelpers.utils.ts","47","1,4"
"lib\vite-manual-chunks.ts","47","1,8"
"lib\dbDefaults.ts","46","1"
"agents\StokAgent.ts","45","1,9"
"components\ui\avatar.tsx","44","1,4"
"lib\streamUtils.ts","44","1,2"
"components\EmptyState.tsx","43","1,1"
"agents\index.ts","43","2"
"components\MenuViewModel.tsx","43","1,8"
"components\ui\scroll-area.tsx","42","1,6"
"lib\format.ts","41","1,3"
"pages\pageStyles.ts","41","1"
"agents\FaturaAgent.ts","41","1,8"
"agents\KasaAgent.ts","40","1,6"
"components\ui\resizable.tsx","39","1,7"
"lib\deepseek.ts","39","1,4"
"components\layout\AIDrawer.tsx","39","1,4"
"components\ui\badge.tsx","38","1,5"
"components\ui\toggle.tsx","38","1,5"
"components\settings\SettingsActionButtons.tsx","38","1,2"
"components\ui\radio-group.tsx","38","1,4"
"agents\CariAgent.ts","38","1,5"
"lib\specs\index.ts","37","2,5"
"lib\similarity.ts","36","1,5"
"pages\salesStyles.ts","36","0,9"
"lib\pageHelpers.ts","34","1,3"
"domain\eventBus.ts","33","1,1"
"pages\ai\AIAHelpers.tsx","32","1,4"
"lib\audio.ts","30","0,9"
"lib\domainDictionary.ts","30","1,2"
"config\agentConfig.ts","30","0,9"
"lib\specs\types.ts","30","0,6"
"pages\settings\SettingsShortcuts.tsx","29","1,1"
"agents\BaseAgent.ts","29","1,1"
"pages\SalesHelpers.tsx","28","0,8"
"lib\db\syncQueue.ts","28","0,8"
"lib\formStyles.ts","26","0,6"
"components\ui\separator.tsx","26","0,7"
"components\ui\popover.tsx","25","1,3"
"components\ui\kbd.tsx","25","0,8"
"components\ui\tooltip.tsx","25","1,2"
"components\ui\checkbox.tsx","25","1"
"components\ui\progress.tsx","24","0,8"
"components\ui\switch.tsx","24","1,1"
"domain\intentEngine.ts","24","0,8"
"pages\SettingsCard.tsx","23","0,4"
"components\InfoRow.tsx","23","0,5"
"components\ui\sonner.tsx","23","0,8"
"components\ui\slider.tsx","23","1"
"components\ui\hover-card.tsx","22","1,2"
"hooks\db\useDBQueries.ts","21","0,6"
"components\ui\label.tsx","21","0,7"
